sentenceid,scale,codeCrowd,NcodedCrowd,NCrowd,SECrowd,goldCrowd,codeExperts,NcodedExperts,NExperts,SEExperts,codeSemiExperts,NcodedSemiExperts,NSemiExperts,SESemiExperts,manifestoid,party,year
10000931,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000931,Economic,.875,8,897,.022398766,nongold,1,3,779,.029833695,,,,,Con 1987,Conservatives,1987
10000931,Social,1.5,4,783,.029228823,nongold,-1,1,215,.057679296,,,,,Con 1987,Conservatives,1987
10000941,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000941,Economic,1.0576923,156,897,.022398766,nongold,1.4285715,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000941,Social,1.0666667,15,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000951,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000951,Economic,.80291969,137,897,.022398766,nongold,1.875,8,779,.029833695,,,,,Con 1987,Conservatives,1987
10000951,Social,-.66666669,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000961,None,,0,0,,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000961,Economic,.85714287,154,897,.022398766,nongold,1.1428572,7,779,.029833695,,,,,Con 1987,Conservatives,1987
10000961,Social,.66666669,3,783,.029228823,nongold,,,,,,,,,Con 1987,Conservatives,1987
10000971,None,,0,0,,nongold,,0,0,,,,,,Con 1987,Conservatives,1987
10000971,Economic,.76923078,13,897,.022398766,nongold,1,3,779,.029833695,,,,,Con 1987,Conservatives,1987
